keys,en
BTN_GO,GO
BTN_RESET,RESET
BTN_UNDO,UNDO
BTN_PAUSE,PAUSE
BTN_RESUME,RESUME
BTN_RESTART,RESTART
BTN_RETRY,RETRY
BTN_NEXT,NEXT
BTN_PLAY,PLAY
BTN_QUIT,QUIT
BTN_SHARE,SHARE
BTN_SETTINGS,SETTINGS
BTN_SHOP,SHOP
BTN_LAB,LAB
TITLE_CHAOS_LAB,CHAOS LAB
TITLE_EXPERIMENT,EXPERIMENT
TITLE_PAUSED,PAUSED
TITLE_SETTINGS,SETTINGS
TITLE_SHOP,SHOP
TITLE_DAILY,DAILY CHAOS
TITLE_CHAOS_MODE,CHAOS MODE
LABEL_CHAIN,CHAIN
LABEL_SCORE,SCORE
LABEL_COINS,COINS
LABEL_GEMS,GEMS
LABEL_STARS,STARS
LABEL_LEVEL,LEVEL
LABEL_WORLD,WORLD
RESULT_PERFECT,PERFECT!
RESULT_GREAT,GREAT!
RESULT_COMPLETE,COMPLETE!
RESULT_INCOMPLETE,INCOMPLETE
RESULT_COINS_EARNED,+%d COINS
CHAIN_NICE,NICE!
CHAIN_GREAT,GREAT!
CHAIN_AWESOME,AWESOME!
CHAIN_CHAOS,CHAOS!
CHAIN_MASSIVE,MASSIVE CHAIN!
CHAIN_PERFECT,PERFECT!
HINT_DRAG,Drag to move
HINT_GO,Press GO to start
HINT_RESET,Press RESET to try again
SETTINGS_MUSIC,Music
SETTINGS_SFX,Sound Effects
SETTINGS_HAPTICS,Haptics
SETTINGS_QUALITY,Graphics Quality
SETTINGS_LANGUAGE,Language
SETTINGS_PRIVACY,Privacy
SETTINGS_CREDITS,Credits
SETTINGS_VERSION,Version
