path,license,asset_id,asset_name,type,source,source_url,author,commercial_use,modification_allowed,attribution_required,date_verified,notes
assets/fonts/Inter-Bold.ttf,OFL-1.1,FONT_INTER_BOLD,Inter Bold,Font,Google Fonts / GitHub,https://github.com/rsms/inter,Rasmus Andersson,True,True,False,2026-09-18,Used for all UI typography
assets/chaos_lab_feature_graphic.jpg,CC0-1.0,ART_FEATURE_GRAPHIC,Chaos Lab Feature Graphic,Image,Internal,local,Chaos Lab Team,True,True,False,2026-09-18,Google Play feature graphic
assets/ASSET_MANIFEST.csv,CC0-1.0,DOC_MANIFEST,Asset Manifest,Document,Internal,local,Chaos Lab Team,True,True,False,2026-09-18,License documentation
icon.svg,CC0-1.0,ART_ICON,Chaos Lab App Icon,Vector,Internal,local,Chaos Lab Team,True,True,False,2026-09-18,App launcher and project icon
assets/audio/sfx/break.ogg,CC0-1.0,KENNEY_BREAK_OGG,Kenney Glass/Debris Break SFX,Audio (OGG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Wall fracture and glass destruction
assets/audio/sfx/coin.ogg,CC0-1.0,KENNEY_COIN_OGG,Kenney Coin / Star Collect SFX,Audio (OGG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Coin reward and star reveal
assets/audio/sfx/fall.ogg,CC0-1.0,KENNEY_FALL_OGG,Kenney Fall SFX,Audio (OGG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Object falling into pit or void
assets/audio/sfx/jump.ogg,CC0-1.0,KENNEY_JUMP_OGG,Kenney Launch SFX,Audio (OGG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Gravity pad and ramp ejection
assets/audio/sfx/land.ogg,CC0-1.0,KENNEY_LAND_OGG,Kenney Impact Land SFX,Audio (OGG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Physics object impact and thud
assets/audio/sfx/blaster.ogg,CC0-1.0,KENNEY_BLASTER_OGG,Kenney Laser / Blaster SFX,Audio (OGG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Laser emitter beam activation
assets/audio/sfx/enemy_destroy.ogg,CC0-1.0,KENNEY_ENEMY_DESTROY_OGG,Kenney Explosion Detonation SFX,Audio (OGG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Bomb and barrel explosive blast
assets/audio/sfx/tile-match.ogg,CC0-1.0,KENNEY_TILE_MATCH_OGG,Kenney Chime Combo SFX,Audio (OGG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Target hit and combo multiplier chime
assets/audio/sfx/tile-land.ogg,CC0-1.0,KENNEY_TILE_LAND_OGG,Kenney Crate Drop SFX,Audio (OGG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Heavy wooden / metal crate impact
assets/audio/sfx/tile-swap.ogg,CC0-1.0,KENNEY_TILE_SWAP_OGG,Kenney Tactile UI Click SFX,Audio (OGG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Button press and apparatus tray select
assets/sprites/debris/debrisGlass_1.png,CC0-1.0,KENNEY_DEBRISGLASS_1_PNG,Kenney Glass Debris 1,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Breakable wall glass shard 1
assets/sprites/debris/debrisGlass_2.png,CC0-1.0,KENNEY_DEBRISGLASS_2_PNG,Kenney Glass Debris 2,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Breakable wall glass shard 2
assets/sprites/debris/debrisGlass_3.png,CC0-1.0,KENNEY_DEBRISGLASS_3_PNG,Kenney Glass Debris 3,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Breakable wall glass shard 3
assets/sprites/debris/debrisWood_1.png,CC0-1.0,KENNEY_DEBRISWOOD_1_PNG,Kenney Wood Debris 1,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Crate splinter shard 1
assets/sprites/debris/debrisWood_2.png,CC0-1.0,KENNEY_DEBRISWOOD_2_PNG,Kenney Wood Debris 2,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Crate splinter shard 2
assets/sprites/debris/debrisWood_3.png,CC0-1.0,KENNEY_DEBRISWOOD_3_PNG,Kenney Wood Debris 3,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Crate splinter shard 3
assets/sprites/debris/debrisStone_1.png,CC0-1.0,KENNEY_DEBRISSTONE_1_PNG,Kenney Stone Debris 1,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Concrete wall fracture shard 1
assets/sprites/debris/debrisStone_2.png,CC0-1.0,KENNEY_DEBRISSTONE_2_PNG,Kenney Stone Debris 2,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Concrete wall fracture shard 2
assets/sprites/debris/debrisStone_3.png,CC0-1.0,KENNEY_DEBRISSTONE_3_PNG,Kenney Stone Debris 3,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Concrete wall fracture shard 3
assets/sprites/objects/barrel_explosive.png,CC0-1.0,KENNEY_BARREL_EXPLOSIVE_PNG,Kenney Explosive Barrel Sprite,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Volatile explosive barrel apparatus
assets/sprites/objects/tnt_block.png,CC0-1.0,KENNEY_TNT_BLOCK_PNG,Kenney TNT Explosive Block,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Detonating explosive crate
assets/sprites/objects/bomb_spiked.png,CC0-1.0,KENNEY_BOMB_SPIKED_PNG,Kenney Bomb Sphere Sprite,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Kinetic bomb apparatus
assets/sprites/objects/crate_wood.png,CC0-1.0,KENNEY_CRATE_WOOD_PNG,Kenney Wood Crate Sprite,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Physics Box apparatus
assets/sprites/objects/crate_metal.png,CC0-1.0,KENNEY_CRATE_METAL_PNG,Kenney Metal Block Sprite,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Heavy steel apparatus block
assets/sprites/objects/ramp_wood.png,CC0-1.0,KENNEY_RAMP_WOOD_PNG,Kenney Wood Incline Triangle,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Physics Ramp wedge
assets/sprites/objects/beam_metal.png,CC0-1.0,KENNEY_BEAM_METAL_PNG,Kenney Metal Girder Beam,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Structural barrier girder
assets/sprites/objects/glass_pane.png,CC0-1.0,KENNEY_GLASS_PANE_PNG,Kenney Glass Pane Sprite,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Breakable wall glass barrier
assets/sprites/objects/glass_block.png,CC0-1.0,KENNEY_GLASS_BLOCK_PNG,Kenney Glass Block Sprite,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Reinforced glass barrier
assets/sprites/objects/ball_metal.png,CC0-1.0,KENNEY_BALL_METAL_PNG,Kenney Metallic Blue Sphere,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Physics rolling ball apparatus
assets/sprites/objects/ball_red.png,CC0-1.0,KENNEY_BALL_RED_PNG,Kenney Kinetic Red Sphere,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Heavy bowling ball skin
assets/sprites/vfx/particle_star.png,CC0-1.0,KENNEY_PARTICLE_STAR_PNG,Kenney Particle Glow Texture,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Explosion spark & kinetic impact
assets/sprites/vfx/blob_shadow.png,CC0-1.0,KENNEY_BLOB_SHADOW_PNG,Kenney Blob Shadow Texture,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Ground contact soft shadow
assets/sprites/ui/icon_star.png,CC0-1.0,KENNEY_ICON_STAR_PNG,Kenney Star Icon,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Star rating badge
assets/sprites/ui/icon_gear.png,CC0-1.0,KENNEY_ICON_GEAR_PNG,Kenney Settings Gear Icon,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Settings button icon
assets/sprites/ui/icon_audio_on.png,CC0-1.0,KENNEY_ICON_AUDIO_ON_PNG,Kenney Audio On Icon,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Sound enabled icon
assets/sprites/ui/icon_audio_off.png,CC0-1.0,KENNEY_ICON_AUDIO_OFF_PNG,Kenney Audio Off Icon,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Sound muted icon
assets/sprites/ui/icon_music_on.png,CC0-1.0,KENNEY_ICON_MUSIC_ON_PNG,Kenney Music On Icon,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Music enabled icon
assets/sprites/ui/icon_music_off.png,CC0-1.0,KENNEY_ICON_MUSIC_OFF_PNG,Kenney Music Off Icon,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Music muted icon
assets/sprites/ui/icon_checkmark.png,CC0-1.0,KENNEY_ICON_CHECKMARK_PNG,Kenney Checkmark Icon,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Target cleared icon
assets/sprites/ui/icon_cross.png,CC0-1.0,KENNEY_ICON_CROSS_PNG,Kenney Cross / Cancel Icon,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Close modal icon
assets/sprites/ui/icon_pause.png,CC0-1.0,KENNEY_ICON_PAUSE_PNG,Kenney Pause Icon,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Pause simulation icon
assets/sprites/ui/icon_arrow_right.png,CC0-1.0,KENNEY_ICON_ARROW_RIGHT_PNG,Kenney Next / Arrow Icon,Texture (PNG),Kenney.nl,https://kenney.nl,Kenney Vleugels,True,True,False,2026-09-19,CC0 Public Domain. Navigation arrow icon
